tourist_id,index,event,data,timestamp
23,1,KYC_VERIFIED,"{""document_type"": ""passport"", ""method"": ""document_scan"", ""verified_by"": ""auto_kyc""}",2026-07-28 06:11:00
23,2,CHECKIN,"{""lat"": 26.1857, ""lng"": 91.7477, ""location"": ""Nehru Park""}",2026-08-08 07:30:00
23,3,CHECKOUT,"{""location"": ""En route to La Maison de Ananda, Majuli (stay 1)"", ""trip_completed"": true}",2026-08-11 15:30:00
24,0,ID_ISSUED,"{""digital_id"": ""STS-B1AFBAF818B1"", ""document"": ""XXXX-XXXX-1121"", ""name"": ""Simanta Deka"", ""nationality"": ""Indian"", ""trip_end"": ""2026-08-11T19:45:00""}",2026-07-16 08:45:00
24,1,KYC_VERIFIED,"{""document_type"": ""aadhaar"", ""method"": ""document_scan"", ""verified_by"": ""auto_kyc""}",2026-07-16 09:00:00
24,2,CHECKIN,"{""lat"": 25.19, ""lng"": 92.02, ""location"": ""Dawki / Umngot River""}",2026-08-03 10:45:00
24,3,CHECKOUT,"{""location"": ""En route to Living Root Bridge, Nongriat"", ""trip_completed"": true}",2026-08-11 19:45:00
25,0,ID_ISSUED,"{""digital_id"": ""STS-56FF60BD2346"", ""document"": ""XXXX-XXXX-9797"", ""name"": ""Anurag Sharma"", ""nationality"": ""Indian"", ""trip_end"": ""2026-08-14T18:00:00""}",2026-08-09 17:00:00
25,1,KYC_VERIFIED,"{""document_type"": ""aadhaar"", ""method"": ""document_scan"", ""verified_by"": ""auto_kyc""}",2026-08-09 17:16:00
25,2,CHECKIN,"{""lat"": 26.1664, ""lng"": 91.7055, ""location"": ""Kamakhya Temple""}",2026-08-10 10:00:00
25,3,CHECKOUT,"{""location"": ""En route to Kamakhya Temple"", ""trip_completed"": true}",2026-08-14 18:00:00
26,0,ID_ISSUED,"{""digital_id"": ""STS-795111972C5F"", ""document"": ""Z5456566"", ""name"": ""Rohan Deka"", ""nationality"": ""Indian"", ""trip_end"": ""2026-09-12T08:00:00""}",2026-09-06 01:00:00
26,1,KYC_VERIFIED,"{""document_type"": ""passport"", ""method"": ""document_scan"", ""verified_by"": ""auto_kyc""}",2026-09-06 01:40:00
26,2,CHECKIN,"{""lat"": 26.1667, ""lng"": 91.5667, ""location"": ""Sualkuchi Silk Village""}",2026-09-08 06:00:00
27,0,ID_ISSUED,"{""digital_id"": ""STS-031E1C928E2F"", ""document"": ""911392823"", ""name"": ""Chloe Dubois"", ""nationality"": ""French"", ""trip_end"": ""2026-08-06T12:00:00""}",2026-07-14 03:00:00
27,1,KYC_VERIFIED,"{""document_type"": ""passport"", ""method"": ""document_scan"", ""verified_by"": ""auto_kyc""}",2026-07-14 03:33:00
27,2,CHECKIN,"{""lat"": 27.5861, ""lng"": 91.8594, ""location"": ""Tawang Monastery""}",2026-07-24 10:00:00
27,3,CHECKOUT,"{""location"": ""Ziro Valley"", ""trip_completed"": true}",2026-08-06 12:00:00
28,0,ID_ISSUED,"{""digital_id"": ""STS-6C791DFBECCA"", ""document"": ""830682948"", ""name"": ""James Rodriguez"", ""nationality"": ""American"", ""trip_end"": ""2026-08-05T15:15:00""}",2026-07-25 22:15:00
28,1,KYC_VERIFIED,"{""document_type"": ""passport"", ""method"": ""document_scan"", ""verified_by"": ""auto_kyc""}",2026-07-25 22:47:00
28,2,CHECKIN,"{""lat"": 26.1664, ""lng"": 91.7055, ""location"": ""Kamakhya Temple""}",2026-08-01 10:15:00
28,3,CHECKOUT,"{""location"": ""En route to Navagraha Temple"", ""trip_completed"": true}",2026-08-05 15:15:00
29,0,ID_ISSUED,"{""digital_id"": ""STS-E02DA1B00317"", ""document"": ""XXXX-XXXX-8295"", ""name"": ""Kabir Hazarika"", ""nationality"": ""Indian"", ""trip_end"": ""2026-08-23T19:00:00""}",2026-08-12 14:00:00
29,1,KYC_VERIFIED,"{""document_type"": ""aadhaar"", ""method"": ""document_scan"", ""verified_by"": ""auto_kyc""}",2026-08-12 14:31:00
29,2,CHECKIN,"{""lat"": 26.12, ""lng"": 91.65, ""location"": ""Deepor Beel Wildlife Sanctuary""}",2026-08-20 08:00:00
29,3,CHECKOUT,"{""location"": ""En route to Hotel Nandan (stay 1)"", ""trip_completed"": true}",2026-08-23 19:00:00
30,0,ID_ISSUED,"{""digital_id"": ""STS-73105B63EDD5"", ""document"": ""696573853"", ""name"": ""Oliver Edwards"", ""nationality"": ""British"", ""trip_end"": ""2026-08-04T15:45:00""}",2026-07-19 22:45:00
30,1,KYC_VERIFIED,"{""document_type"": ""passport"", ""method"": ""document_scan"", ""verified_by"": ""auto_kyc""}",2026-07-19 22:49:00
30,2,CHECKIN,"{""lat"": 25.5788, ""lng"": 91.8933, ""location"": ""Shillong""}",2026-07-23 05:45:00
30,3,CHECKOUT,"{""location"": ""Gangtok"", ""trip_completed"": true}",2026-08-04 15:45:00
31,0,ID_ISSUED,"{""digital_id"": ""STS-FE0A43D756C1"", ""document"": ""XXXX-XXXX-5280"", ""name"": ""Kabir Rajkhowa"", ""nationality"": ""Indian"", ""trip_end"": ""2026-08-12T15:00:00""}",2026-07-27 11:00:00
31,1,KYC_VERIFIED,"{""document_type"": ""aadhaar"", ""method"": ""document_scan"", ""verified_by"": ""auto_kyc""}",2026-07-27 11:05:00
31,2,CHECKIN,"{""lat"": 26.1824, ""lng"": 91.7513, ""location"": ""Guwahati Railway Station""}",2026-08-01 10:00:00
31,3,CHECKOUT,"{""location"": ""Ziro Valley"", ""trip_completed"": true}",2026-08-12 15:00:00
32,0,ID_ISSUED,"{""digital_id"": ""STS-43DFA112E9D7"", ""document"": ""BX4400579"", ""name"": ""Fatima Chowdhury"", ""nationality"": ""Bangladeshi"", ""trip_end"": ""2026-08-12T13:15:00""}",2026-07-22 09:15:00
32,1,KYC_VERIFIED,"{""document_type"": ""passport"", ""method"": ""document_scan"", ""verified_by"": ""auto_kyc""}",2026-07-22 09:50:00
32,2,CHECKIN,"{""lat"": 25.6751, ""lng"": 94.1086, ""location"": ""Kohima""}",2026-07-26 09:15:00
32,3,CHECKOUT,"{""location"": ""Shillong"", ""trip_completed"": true}",2026-08-12 13:15:00
33,0,ID_ISSUED,"{""digital_id"": ""STS-1C61761EFBDE"", ""document"": ""Z8407493"", ""name"": ""Aarav Banerjee"", ""nationality"": ""Indian"", ""trip_end"": ""2026-07-30T10:15:00""}",2026-07-15 18:15:00
33,1,KYC_VERIFIED,"{""document_type"": ""passport"", ""method"": ""document_scan"", ""verified_by"": ""auto_kyc""}",2026-07-15 18:32:00
33,2,CHECKIN,"{""lat"": 26.135, ""lng"": 91.805, ""location"": ""Six Mile""}",2026-07-29 06:15:00
33,3,CHECKOUT,"{""location"": ""LGB International Airport"", ""trip_completed"": true}",2026-07-30 10:15:00
34,0,ID_ISSUED,"{""digital_id"": ""STS-464D7AAB8C23"", ""document"": ""XXXX-XXXX-3851"", ""name"": ""Gitanjali Verma"", ""nationality"": ""Indian"", ""trip_end"": ""2026-08-06T21:30:00""}",2026-07-18 19:30:00
34,1,KYC_VERIFIED,"{""document_type"": ""aadhaar"", ""method"": ""document_scan"", ""verified_by"": ""auto_kyc""}",2026-07-18 19:57:00
34,2,CHECKIN,"{""lat"": 26.6338, ""lng"": 92.8, ""location"": ""Tezpur""}",2026-07-28 09:30:00
34,3,SOS_TRIGGERED,"{""lat"": 26.104079, ""lng"": 91.582343, ""message"": ""Lost in the forest trail, no landmarks visible, running out of water.""}",2026-08-03 13:47:32
34,4,CHECKOUT,"{""location"": ""LGB International Airport"", ""trip_completed"": true}",2026-08-06 21:30:00
35,0,ID_ISSUED,"{""digital_id"": ""STS-C29899FC38F2"", ""document"": ""XXXX-XXXX-8272"", ""name"": ""Chandana Hazarika"", ""nationality"": ""Indian"", ""trip_end"": ""2026-09-10T22:00:00""}",2026-09-01 11:00:00
35,1,KYC_VERIFIED,"{""document_type"": ""aadhaar"", ""method"": ""document_scan"", ""verified_by"": ""auto_kyc""}",2026-09-01 11:12:00
35,2,CHECKIN,"{""lat"": 25.5788, ""lng"": 91.8933, ""location"": ""Shillong""}",2026-09-02 11:00:00
36,0,ID_ISSUED,"{""digital_id"": ""STS-7CB96F55E69F"", ""document"": ""HJ015597"", ""name"": ""Owen Bouchard"", ""nationality"": ""Canadian"", ""trip_end"": ""2026-09-12T19:15:00""}",2026-08-20 14:15:00
36,1,KYC_VERIFIED,"{""document_type"": ""passport"", ""method"": ""document_scan"", ""verified_by"": ""auto_kyc""}",2026-08-20 14:45:00
36,2,CHECKIN,"{""lat"": 25.9333, ""lng"": 91.4333, ""location"": ""Chandubi Lake""}",2026-09-09 09:15:00
37,0,ID_ISSUED,"{""digital_id"": ""STS-3FB59F64373F"", ""document"": ""XXXX-XXXX-4335"", ""name"": ""Hemanta Verma"", ""nationality"": ""Indian"", ""trip_end"": ""2026-09-04T23:30:00""}",2026-08-18 09:30:00
37,1,KYC_VERIFIED,"{""document_type"": ""aadhaar"", ""method"": ""document_scan"", ""verified_by"": ""auto_kyc""}",2026-08-18 09:34:00
37,2,CHECKIN,"{""lat"": 26.1856, ""lng"": 91.7455, ""location"": ""Pan Bazaar""}",2026-08-30 10:30:00
37,3,CHECKOUT,"{""location"": ""En route to Hotel Rajmahal (stay 1)"", ""trip_completed"": true}",2026-09-04 23:30:00
38,0,ID_ISSUED,"{""digital_id"": ""STS-3A9B3295EA2A"", ""document"": ""028105939"", ""name"": ""Thomas Taylor"", ""nationality"": ""British"", ""trip_end"": ""2026-07-29T21:15:00""}",2026-07-12 20:15:00
38,1,KYC_VERIFIED,"{""document_type"": ""passport"", ""method"": ""document_scan"", ""verified_by"": ""auto_kyc""}",2026-07-12 20:44:00
38,2,CHECKIN,"{""lat"": 26.1664, ""lng"": 91.7055, ""location"": ""Kamakhya Temple""}",2026-07-27 07:15:00
38,3,CHECKOUT,"{""location"": ""En route to Kamakhya Temple"", ""trip_completed"": true}",2026-07-29 21:15:00
39,0,ID_ISSUED,"{""digital_id"": ""STS-41F771CCE095"", ""document"": ""XXXX-XXXX-1425"", ""name"": ""Aarav Choudhury"", ""nationality"": ""Indian"", ""trip_end"": ""2026-09-11T11:00:00""}",2026-08-31 19:00:00
39,1,KYC_VERIFIED,"{""document_type"": ""aadhaar"", ""method"": ""document_scan"", ""verified_by"": ""auto_kyc""}",2026-08-31 19:31:00
39,2,CHECKIN,"{""lat"": 26.3667, ""lng"": 91.6333, ""location"": ""Madan Kamdev Ruins""}",2026-09-05 05:00:00
40,0,ID_ISSUED,"{""digital_id"": ""STS-09A799AC38B5"", ""document"": ""50009436"", ""name"": ""Tamar Cohen"", ""nationality"": ""Israeli"", ""trip_end"": ""2026-09-05T15:30:00""}",2026-08-06 19:30:00
40,1,KYC_VERIFIED,"{""document_type"": ""passport"", ""method"": ""document_scan"", ""verified_by"": ""auto_kyc""}",2026-08-06 19:38:00
40,2,CHECKIN,"{""lat"": 26.95, ""lng"": 94.17, ""location"": ""Majuli River Island""}",2026-08-28 10:30:00
40,3,CHECKOUT,"{""location"": ""LGB International Airport"", ""trip_completed"": true}",2026-09-05 15:30:00
41,0,ID_ISSUED,"{""digital_id"": ""STS-B70C1C93BBBF"", ""document"": ""BX4818695"", ""name"": ""Tanvir Islam"", ""nationality"": ""Bangladeshi"", ""trip_end"": ""2026-08-19T15:00:00""}",2026-08-07 12:00:00
41,1,KYC_VERIFIED,"{""document_type"": ""passport"", ""method"": ""document_scan"", ""verified_by"": ""auto_kyc""}",2026-08-07 12:06:00
41,2,CHECKIN,"{""lat"": 26.9826, ""lng"": 94.6425, ""location"": ""Sivasagar""}",2026-08-08 07:00:00
41,3,CHECKOUT,"{""location"": ""LGB International Airport"", ""trip_completed"": true}",2026-08-19 15:00:00
42,0,ID_ISSUED,"{""digital_id"": ""STS-B2EDF69CE264"", ""document"": ""FCR1967923"", ""name"": ""Divya Medhi"", ""nationality"": ""Indian"", ""trip_end"": ""2026-08-05T11:15:00""}",2026-07-21 08:15:00
42,1,KYC_VERIFIED,"{""document_type"": ""voterid"", ""method"": ""document_scan"", ""verified_by"": ""auto_kyc""}",2026-07-21 08:53:00
42,2,CHECKIN,"{""lat"": 26.92, ""lng"": 92.88, ""location"": ""Nameri National Park""}",2026-07-25 07:15:00
42,3,CHECKOUT,"{""location"": ""Sivasagar"", ""trip_completed"": true}",2026-08-05 11:15:00
43,0,ID_ISSUED,"{""digital_id"": ""STS-8B9008D42606"", ""document"": ""XXXX-XXXX-5338"", ""name"": ""Anjali Nair"", ""nationality"": ""Indian"", ""trip_end"": ""2026-09-14T12:30:00""}",2026-08-26 08:30:00
43,1,KYC_VERIFIED,"{""document_type"": ""aadhaar"", ""method"": ""document_scan"", ""verified_by"": ""auto_kyc""}",2026-08-26 09:05:00
43,2,CHECKIN,"{""lat"": 23.8315, ""lng"": 91.2868, ""location"": ""Agartala""}",2026-09-04 10:30:00
44,0,ID_ISSUED,"{""digital_id"": ""STS-0E84DE5899A3"", ""document"": ""003810741"", ""name"": ""James Smith"", ""nationality"": ""American"", ""trip_end"": ""2026-08-19T17:45:00""}",2026-08-06 02:45:00
44,1,KYC_VERIFIED,"{""document_type"": ""passport"", ""method"": ""document_scan"", ""verified_by"": ""auto_kyc""}",2026-08-06 03:17:00
44,2,CHECKIN,"{""lat"": 26.178, ""lng"": 91.786, ""location"": ""Assam State Zoo & Botanical Garden""}",2026-08-16 11:45:00
44,3,MARKED_MISSING,"{""last_lat"": 25.935939, ""last_lng"": 91.435342}",2026-08-19 15:34:05
44,4,EFIR_FILED,"{""fir_number"": ""EFIR/2026/00044""}",2026-08-19 15:34:05
45,0,ID_ISSUED,"{""digital_id"": ""STS-E000BC8C4025"", ""document"": ""XXXX-XXXX-6131"", ""name"": ""Parag Ghosh"", ""nationality"": ""Indian"", ""trip_end"": ""2026-09-06T19:30:00""}",2026-08-28 11:30:00
45,1,KYC_VERIFIED,"{""document_type"": ""aadhaar"", ""method"": ""document_scan"", ""verified_by"": ""auto_kyc""}",2026-08-28 11:46:00
45,2,CHECKIN,"{""lat"": 26.3667, ""lng"": 91.6333, ""location"": ""Madan Kamdev Ruins""}",2026-09-02 06:30:00
