id,digital_id,full_name,nationality,document_type,document_number,phone,itinerary,emergency_contacts,trip_start,trip_end,last_lat,last_lng,last_seen,safety_score,tracking_enabled,status,created_at,behaviour_profile,trip_cluster
11,STS-36EA71496AC6,Fenna Bakker,Dutch,passport,NX4336447,+31-923428402,"[{""name"": ""Ri Kynjai, Umiam (stay 1)"", ""lat"": 26.187942, ""lng"": 91.751688}, {""name"": ""Dighalipukhuri"", ""lat"": 26.1861, ""lng"": 91.7503}, {""name"": ""Pan Bazaar"", ""lat"": 26.1856, ""lng"": 91.7455}, {""name"": ""Fancy Bazaar"", ""lat"": 26.1836, ""lng"": 91.7434}, {""name"": ""Guwahati Planetarium"", ""lat"": 26.1856, ""lng"": 91.7625}]","[{""name"": ""Julia Van Dijk"", ""phone"": ""+31-794947155"", ""relation"": ""family""}, {""name"": ""Julia Jansen"", ""phone"": ""+31-574502405"", ""relation"": ""spouse""}]",2026-08-07 10:30:00,2026-08-12 20:30:00,26.188283,91.751708,2026-08-12 06:52:33,80.8,1,active,2026-07-30 20:30:00,normal,Guwahati City Break
12,STS-3FF0AEA751D9,Anjana Adhikari,Nepali,passport,NP6740877,+977-6236179496,"[{""name"": ""Vivanta Guwahati (stay 1)"", ""lat"": 26.175428, ""lng"": 91.784337}, {""name"": ""Assam State Zoo & Botanical Garden"", ""lat"": 26.178, ""lng"": 91.786}, {""name"": ""Vivanta Guwahati (stay 2)"", ""lat"": 26.229464, ""lng"": 92.08596}, {""name"": ""Pobitora Wildlife Sanctuary"", ""lat"": 26.2333, ""lng"": 92.0833}, {""name"": ""Novotel Guwahati GS Road (stay 3)"", ""lat"": 25.93636, ""lng"": 91.432263}, {""name"": ""Chandubi Lake"", ""lat"": 25.9333, ""lng"": 91.4333}]","[{""name"": ""Anjana Gurung"", ""phone"": ""+977-6426541689"", ""relation"": ""family""}, {""name"": ""Sarita Gurung"", ""phone"": ""+977-3763985238"", ""relation"": ""spouse""}]",2026-09-03 11:45:00,2026-09-07 15:45:00,25.936212,91.432214,2026-09-05 18:26:29,72.1,1,active,2026-08-13 08:45:00,normal,Guwahati Nature & Wildlife
13,STS-1256E70DC4F4,Debojit Barua,Indian,aadhaar,XXXX-XXXX-3119,+91-8678203690,"[{""name"": ""Hotel Polo Towers, Shillong (stay 1)"", ""lat"": 25.582628, ""lng"": 91.891525}, {""name"": ""Shillong"", ""lat"": 25.5788, ""lng"": 91.8933}, {""name"": ""Novotel Guwahati GS Road (stay 2)"", ""lat"": 26.104791, ""lng"": 91.584833}, {""name"": ""LGB International Airport"", ""lat"": 26.1061, ""lng"": 91.5859}, {""name"": ""Ygdrasill Bamboo Resort, Cherrapunji (stay 3)"", ""lat"": 26.575334, ""lng"": 93.17221}, {""name"": ""Kaziranga National Park"", ""lat"": 26.5775, ""lng"": 93.1711}, {""name"": ""Ygdrasill Bamboo Resort, Cherrapunji (stay 4)"", ""lat"": 25.672648, ""lng"": 94.1109}, {""name"": ""Kohima"", ""lat"": 25.6751, ""lng"": 94.1086}, {""name"": ""Dolma Homestay, Tawang (stay 5)"", ""lat"": 24.81716, ""lng"": 93.934528}, {""name"": ""Imphal"", ""lat"": 24.817, ""lng"": 93.9368}, {""name"": ""Novotel Guwahati GS Road (stay 6)"", ""lat"": 23.833658, ""lng"": 91.287428}, {""name"": ""Agartala"", ""lat"": 23.8315, ""lng"": 91.2868}]","[{""name"": ""Aarav Reddy"", ""phone"": ""+91-9214348696"", ""relation"": ""family""}]",2026-08-13 05:00:00,2026-08-27 07:00:00,23.833906,91.287419,2026-08-27 06:43:05,77.4,1,active,2026-08-02 23:00:00,inactivity,Seven Sisters Grand Tour
14,STS-C959A0E2D6AF,Pranjal Verma,Indian,aadhaar,XXXX-XXXX-4027,+91-8311543978,"[{""name"": ""Kiranshree Portico (stay 1)"", ""lat"": 26.631611, ""lng"": 92.802921}, {""name"": ""Tezpur"", ""lat"": 26.6338, ""lng"": 92.8}, {""name"": ""Radisson Blu Guwahati (stay 2)"", ""lat"": 26.186161, ""lng"": 91.749592}, {""name"": ""Guwahati Railway Station"", ""lat"": 26.1824, ""lng"": 91.7513}, {""name"": ""Hotel Rajmahal (stay 3)"", ""lat"": 27.543395, ""lng"": 93.833887}, {""name"": ""Ziro Valley"", ""lat"": 27.5448, ""lng"": 93.832}]","[{""name"": ""Anurag Deka"", ""phone"": ""+91-7532861780"", ""relation"": ""family""}, {""name"": ""Rituparna Nair"", ""phone"": ""+91-6380573213"", ""relation"": ""spouse""}, {""name"": ""Ygdrasill Bamboo Resort, Cherrapunji Front Desk"", ""phone"": ""+91-9455526151"", ""relation"": ""hotel""}]",2026-08-31 10:00:00,2026-09-14 23:00:00,27.54354,93.834228,2026-09-05 18:35:26,72.8,0,active,2026-08-30 20:00:00,normal,Arunachal High Himalaya
15,STS-87D9547540CE,Imran Sarkar,Bangladeshi,passport,BX8922518,+880-8442054051,"[{""name"": ""Vivanta Guwahati (stay 1)"", ""lat"": 26.17452, ""lng"": 91.786235}, {""name"": ""Assam State Zoo & Botanical Garden"", ""lat"": 26.178, ""lng"": 91.786}, {""name"": ""La Maison de Ananda, Majuli (stay 2)"", ""lat"": 26.101619, ""lng"": 91.622932}, {""name"": ""Deepor Beel Wildlife Sanctuary"", ""lat"": 26.12, ""lng"": 91.65}, {""name"": ""Accoland Water Park"", ""lat"": 26.09, ""lng"": 91.59}, {""name"": ""Kiranshree Portico (stay 3)"", ""lat"": 25.936686, ""lng"": 91.429441}, {""name"": ""Chandubi Lake"", ""lat"": 25.9333, ""lng"": 91.4333}, {""name"": ""Novotel Guwahati GS Road (stay 4)"", ""lat"": 26.234973, ""lng"": 92.086374}, {""name"": ""Pobitora Wildlife Sanctuary"", ""lat"": 26.2333, ""lng"": 92.0833}, {""name"": ""En route to Accoland Water Park"", ""lat"": 26.11, ""lng"": 91.63}, {""name"": ""En route to Accoland Water Park"", ""lat"": 26.1, ""lng"": 91.61}, {""name"": ""En route to La Maison de Ananda, Majuli (stay 2)"", ""lat"": 26.09581, ""lng"": 91.606466}, {""name"": ""En route to Deepor Beel Wildlife Sanctuary"", ""lat"": 26.11081, ""lng"": 91.636466}]","[{""name"": ""Tanvir Uddin"", ""phone"": ""+880-7650836816"", ""relation"": ""family""}, {""name"": ""Shakib Rahman"", ""phone"": ""+880-2407373087"", ""relation"": ""spouse""}, {""name"": ""Imran Islam"", ""phone"": ""+880-1390920056"", ""relation"": ""spouse""}]",2026-08-30 08:30:00,2026-09-02 12:30:00,25.936806,91.429447,2026-09-02 06:49:02,80.2,0,active,2026-08-24 20:30:00,normal,Guwahati Nature & Wildlife
16,STS-8F7BC2756E33,Jayanta Reddy,Indian,passport,Z4092016,+91-6380437412,"[{""name"": ""Vivanta Guwahati (stay 1)"", ""lat"": 25.678013, ""lng"": 94.105228}, {""name"": ""Kohima"", ""lat"": 25.6751, ""lng"": 94.1086}, {""name"": ""Vivanta Guwahati (stay 2)"", ""lat"": 25.577593, ""lng"": 91.894333}, {""name"": ""Shillong"", ""lat"": 25.5788, ""lng"": 91.8933}, {""name"": ""Novotel Guwahati GS Road (stay 3)"", ""lat"": 26.105201, ""lng"": 91.58573}, {""name"": ""LGB International Airport"", ""lat"": 26.1061, ""lng"": 91.5859}, {""name"": ""Brahmaputra Jungle Resort (stay 4)"", ""lat"": 23.834243, ""lng"": 91.289067}, {""name"": ""Agartala"", ""lat"": 23.8315, ""lng"": 91.2868}, {""name"": ""Brahmaputra Jungle Resort (stay 5)"", ""lat"": 23.730727, ""lng"": 92.716475}, {""name"": ""Aizawl"", ""lat"": 23.7271, ""lng"": 92.7176}]","[{""name"": ""Manish Banerjee"", ""phone"": ""+91-9454976834"", ""relation"": ""family""}]",2026-07-25 05:00:00,2026-08-08 11:00:00,23.730769,92.716127,2026-08-08 06:51:13,82.7,1,active,2026-07-07 15:00:00,normal,Seven Sisters Grand Tour
17,STS-37845D93B6D5,Antoine Girard,French,passport,655108619,+33-521042084,"[{""name"": ""Novotel Guwahati GS Road (stay 1)"", ""lat"": 27.329056, ""lng"": 88.616126}, {""name"": ""Gangtok"", ""lat"": 27.3314, ""lng"": 88.6138}, {""name"": ""Vivanta Guwahati (stay 2)"", ""lat"": 23.829379, ""lng"": 91.28778}, {""name"": ""Agartala"", ""lat"": 23.8315, ""lng"": 91.2868}, {""name"": ""Ri Kynjai, Umiam (stay 3)"", ""lat"": 23.724432, ""lng"": 92.717368}, {""name"": ""Aizawl"", ""lat"": 23.7271, ""lng"": 92.7176}]","[{""name"": ""Manon Dubois"", ""phone"": ""+33-855574863"", ""relation"": ""family""}, {""name"": ""Chloe Bernard"", ""phone"": ""+33-910705605"", ""relation"": ""spouse""}, {""name"": ""Manon Bernard"", ""phone"": ""+33-941096006"", ""relation"": ""colleague""}]",2026-08-02 07:00:00,2026-08-20 10:00:00,23.724791,92.717728,2026-08-20 06:37:58,84.8,1,active,2026-07-21 04:00:00,normal,Seven Sisters Grand Tour
18,STS-C96BEBBB3C3E,Jayanta Nath,Indian,aadhaar,XXXX-XXXX-1590,+91-9505792151,"[{""name"": ""Hotel Rajmahal (stay 1)"", ""lat"": 26.578204, ""lng"": 93.170016}, {""name"": ""Kaziranga National Park"", ""lat"": 26.5775, ""lng"": 93.1711}, {""name"": ""Dolma Homestay, Tawang (stay 2)"", ""lat"": 26.105975, ""lng"": 91.587796}, {""name"": ""LGB International Airport"", ""lat"": 26.1061, ""lng"": 91.5859}, {""name"": ""Kiranshree Portico (stay 3)"", ""lat"": 25.579464, ""lng"": 91.896072}, {""name"": ""Shillong"", ""lat"": 25.5788, ""lng"": 91.8933}, {""name"": ""Hotel Dynasty, Lakhtokia (stay 4)"", ""lat"": 23.830827, ""lng"": 91.28951}, {""name"": ""Agartala"", ""lat"": 23.8315, ""lng"": 91.2868}, {""name"": ""Brahmaputra Jungle Resort (stay 5)"", ""lat"": 23.729665, ""lng"": 92.716709}, {""name"": ""Aizawl"", ""lat"": 23.7271, ""lng"": 92.7176}, {""name"": ""Radisson Blu Guwahati (stay 6)"", ""lat"": 27.332184, ""lng"": 88.61328}, {""name"": ""Gangtok"", ""lat"": 27.3314, ""lng"": 88.6138}]","[{""name"": ""Aarav Gogoi"", ""phone"": ""+91-7512094596"", ""relation"": ""family""}]",2026-09-01 06:45:00,2026-09-12 14:45:00,23.729944,92.717065,2026-09-05 18:05:06,74.1,1,active,2026-08-14 03:45:00,inactivity,Seven Sisters Grand Tour
19,STS-E9BAB3BECF3B,James Smith,American,passport,944300277,+1-9117306993,"[{""name"": ""Ygdrasill Bamboo Resort, Cherrapunji (stay 1)"", ""lat"": 26.188699, ""lng"": 91.752521}, {""name"": ""Paltan Bazaar"", ""lat"": 26.1817, ""lng"": 91.7503}, {""name"": ""Pan Bazaar"", ""lat"": 26.1856, ""lng"": 91.7455}, {""name"": ""Fancy Bazaar"", ""lat"": 26.1836, ""lng"": 91.7434}, {""name"": ""Uzan Bazar Ghat"", ""lat"": 26.19, ""lng"": 91.759}]","[{""name"": ""Emily Smith"", ""phone"": ""+1-8539871414"", ""relation"": ""family""}, {""name"": ""Michael Davis"", ""phone"": ""+1-5293064614"", ""relation"": ""spouse""}]",2026-08-05 10:00:00,2026-08-09 13:00:00,26.188307,91.752518,2026-08-09 06:43:13,81.7,1,active,2026-07-29 18:00:00,normal,Guwahati Market & Heritage Walk
20,STS-83F77668078E,Nikhil Banerjee,Indian,passport,Z5896549,+91-8616415733,"[{""name"": ""Dolma Homestay, Tawang (stay 1)"", ""lat"": 26.153887, ""lng"": 91.780034}, {""name"": ""Guwahati Railway Station"", ""lat"": 26.1824, ""lng"": 91.7513}, {""name"": ""Dispur Secretariat"", ""lat"": 26.142, ""lng"": 91.79}, {""name"": ""Six Mile"", ""lat"": 26.135, ""lng"": 91.805}, {""name"": ""En route to Dispur Secretariat"", ""lat"": 26.168933, ""lng"": 91.7642}, {""name"": ""En route to Dispur Secretariat"", ""lat"": 26.155467, ""lng"": 91.7771}, {""name"": ""En route to Guwahati Railway Station"", ""lat"": 26.168143, ""lng"": 91.765667}, {""name"": ""En route to Dolma Homestay, Tawang (stay 1)"", ""lat"": 26.144444, ""lng"": 91.792517}]","[{""name"": ""Chandana Mishra"", ""phone"": ""+91-6548748705"", ""relation"": ""family""}, {""name"": ""Tanvi Choudhury"", ""phone"": ""+91-7300560944"", ""relation"": ""spouse""}, {""name"": ""Hotel Dynasty, Lakhtokia Front Desk"", ""phone"": ""+91-8012350665"", ""relation"": ""hotel""}]",2026-08-10 08:00:00,2026-08-11 19:00:00,26.153677,91.780072,2026-08-11 06:53:28,80.1,1,active,2026-07-28 19:00:00,normal,Business / Transit Stay
21,STS-DC67B1B4BC4B,Junmoni Das,Indian,aadhaar,XXXX-XXXX-2174,+91-8431055771,"[{""name"": ""Hotel Dynasty, Lakhtokia (stay 1)"", ""lat"": 26.10299, ""lng"": 91.584895}, {""name"": ""LGB International Airport"", ""lat"": 26.1061, ""lng"": 91.5859}, {""name"": ""Ri Kynjai, Umiam (stay 2)"", ""lat"": 24.818256, ""lng"": 93.935193}, {""name"": ""Imphal"", ""lat"": 24.817, ""lng"": 93.9368}, {""name"": ""Hotel Dynasty, Lakhtokia (stay 3)"", ""lat"": 27.328213, ""lng"": 88.614463}, {""name"": ""Gangtok"", ""lat"": 27.3314, ""lng"": 88.6138}]","[{""name"": ""Aditya Nair"", ""phone"": ""+91-9368072966"", ""relation"": ""family""}, {""name"": ""Arjun Medhi"", ""phone"": ""+91-6843881684"", ""relation"": ""spouse""}]",2026-09-04 10:30:00,2026-09-21 17:30:00,24.818151,93.935224,2026-09-05 18:26:26,69.3,1,active,2026-08-19 06:30:00,normal,Seven Sisters Grand Tour
